college_name,url,college_city,enrollment,tuition
University of La Verne,https://www.free-4u.com/Colleges/University-of-La-Verne.html,La Verne,"10,640","$53,849.00"
University of Phoenix Bay Area Campus,https://www.free-4u.com/Colleges/University-of-Phoenix-Bay-Area-Campus.html,,,
University of Phoenix California,https://www.free-4u.com/Colleges/University-of-Phoenix-California.html,Costa Mesa,"28,993","$12,239.00"
University of Phoenix Central Valley Campus,https://www.free-4u.com/Colleges/University-of-Phoenix-Central-Valley-Campus.html,,,
University of Phoenix Sacramento Valley Campus,https://www.free-4u.com/Colleges/University-of-Phoenix-Sacramento-Valley-Campus.html,,,
University of Phoenix San Diego Campus,https://www.free-4u.com/Colleges/University-of-Phoenix-San-Diego-Campus.html,,,
University of Phoenix Southern California Campus,https://www.free-4u.com/Colleges/University-of-Phoenix-Southern-California-Campus.html,,,
University of Redlands,https://www.free-4u.com/Colleges/University-of-Redlands.html,Redlands,"6,255","$60,874.00"
University of San Diego,https://www.free-4u.com/Colleges/University-of-San-Diego.html,San Diego,"9,237","$59,729.00"
University of San Francisco,https://www.free-4u.com/Colleges/University-of-San-Francisco.html,San Francisco,"12,281","$60,170.00"
University of Southern California,https://www.free-4u.com/Colleges/University-of-Southern-California.html,Los Angeles,"47,673","$64,694.00"
University of St Augustine for Health Sciences,https://www.free-4u.com/Colleges/University-of-St-Augustine-for-Health-Sciences.html,San Marcos,"2,669",
University of West Los Angeles,https://www.free-4u.com/Colleges/University-of-West-Los-Angeles.html,Inglewood,,
University of the Pacific,https://www.free-4u.com/Colleges/University-of-the-Pacific.html,Stockton,"6,865","$58,829.00"
University of the West,https://www.free-4u.com/Colleges/University-of-the-West.html,Rosemead,390,"$24,370.00"
Vanguard University of Southern California,https://www.free-4u.com/Colleges/Vanguard-University-of-Southern-California.html,Costa Mesa,"2,917","$43,934.00"
West Coast University Los Angeles,https://www.free-4u.com/Colleges/West-Coast-University-Los-Angeles.html,North Hollywood,"2,178","$34,084.00"
West Coast University Ontario,https://www.free-4u.com/Colleges/West-Coast-University-Ontario.html,Ontario,"1,441","$34,083.00"
West Coast University Orange County,https://www.free-4u.com/Colleges/West-Coast-University-Orange-County.html,Anaheim,"2,163","$34,345.00"
Western State College of Law at Argosy University,https://www.free-4u.com/Colleges/Western-State-College-of-Law-at-Argosy-University.html,Fullerton,376,
Western University of Health Sciences,https://www.free-4u.com/Colleges/Western-University-of-Health-Sciences.html,Pomona,"4,004",
Westminster Theological Seminary in California,https://www.free-4u.com/Colleges/Westminster-Theological-Seminary-in-California.html,Escondido,155,
Westmont College,https://www.free-4u.com/Colleges/Westmont-College.html,Santa Barbara,"1,370","$55,570.00"
Westwood College Anaheim,https://www.free-4u.com/Colleges/Westwood-College-Anaheim.html,Anaheim,935,"$18,274.00"
Westwood College Inland Empire,https://www.free-4u.com/Colleges/Westwood-College-Inland-Empire.html,Upland,"1,332","$18,878.00"
Westwood College Los Angeles,https://www.free-4u.com/Colleges/Westwood-College-Los-Angeles.html,Los Angeles,"3,055","$17,986.00"
Westwood College South Bay,https://www.free-4u.com/Colleges/Westwood-College-South-Bay.html,Torrance,749,"$18,821.00"
Whittier College,https://www.free-4u.com/Colleges/Whittier-College.html,Whittier,"2,502","$55,925.00"
William Jessup University,https://www.free-4u.com/Colleges/William-Jessup-University.html,Rocklin,"1,461","$39,896.00"
Woodbury University,https://www.free-4u.com/Colleges/Woodbury-University.html,Burbank,"2,086","$50,236.00"
World Mission University,https://www.free-4u.com/Colleges/World-Mission-University.html,Los Angeles,340,"$5,740.00"
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,https://www.free-4u.com/Colleges/Yeshiva-Ohr-Elchonon-Chabad-West-Coast-Talmudical-Seminary.html,Los Angeles,234,"$24,850.00"
Yo San University of Traditional Chinese Medicine,https://www.free-4u.com/Colleges/Yo-San-University-of-Traditional-Chinese-Medicine.html,Los Angeles,258,
